Tempo;CPU (%);Memória (MB)
09:16:39;0.0;21.38
09:16:40;0.0;21.39
09:16:41;0.0;21.39
09:16:42;0.0;21.39
09:16:43;0.0;21.39
09:16:44;0.0;21.39
09:16:45;0.0;21.39
09:16:46;0.0;21.39
09:16:47;0.0;21.39
09:16:48;0.0;21.39
09:16:49;0.0;21.39
09:16:50;0.0;21.39
09:16:51;0.0;21.39
09:16:52;0.0;21.39
09:16:53;0.0;21.39
